run,optimizer,optimizer_label,epoch,metric,n,mean,std,sem,confidence,critical_value,ci_half_width,ci_low,ci_high,minimum,maximum
AdamW,adamw,AdamW,1,max_gradient_norm_before_clip,3,10.40854,0.854515,0.4933545,0.95,4.302653,2.122733,8.28581,12.53128,9.742595,11.37206
AdamW,adamw,AdamW,2,max_gradient_norm_before_clip,3,2.721264,0.1762444,0.1017547,0.95,4.302653,0.4378153,2.283449,3.15908,2.51777,2.825181
AdamW,adamw,AdamW,3,max_gradient_norm_before_clip,3,1.909562,0.07556709,0.04362868,0.95,4.302653,0.1877191,1.721843,2.097281,1.823723,1.966051
AdamW,adamw,AdamW,4,max_gradient_norm_before_clip,3,1.824204,0.1727347,0.09972843,0.95,4.302653,0.4290968,1.395107,2.253301,1.658244,2.002998
AdamW,adamw,AdamW,5,max_gradient_norm_before_clip,3,1.552762,0.1874686,0.108235,0.95,4.302653,0.4656977,1.087064,2.01846,1.413056,1.765815
AdamW,adamw,AdamW,6,max_gradient_norm_before_clip,3,1.486126,0.0611173,0.03528609,0.95,4.302653,0.1518238,1.334303,1.63795,1.418679,1.537834
AdamW,adamw,AdamW,7,max_gradient_norm_before_clip,3,1.447814,0.1913631,0.1104835,0.95,4.302653,0.4753722,0.9724416,1.923186,1.29295,1.661747
AdamW,adamw,AdamW,8,max_gradient_norm_before_clip,3,1.316933,0.159967,0.09235701,0.95,4.302653,0.3973801,0.9195533,1.714314,1.174772,1.490152
AdamW,adamw,AdamW,9,max_gradient_norm_before_clip,3,1.22789,0.1373813,0.07931713,0.95,4.302653,0.3412741,0.8866161,1.569164,1.088106,1.362735
AdamW,adamw,AdamW,10,max_gradient_norm_before_clip,3,1.400156,0.2463125,0.1422086,0.95,4.302653,0.6118741,0.788282,2.01203,1.134101,1.620252
AdamW,adamw,AdamW,11,max_gradient_norm_before_clip,3,1.292452,0.1373515,0.0792999,0.95,4.302653,0.3411999,0.9512518,1.633652,1.161118,1.435118
AdamW,adamw,AdamW,12,max_gradient_norm_before_clip,3,0.9272975,0.1795267,0.1036498,0.95,4.302653,0.445969,0.4813285,1.373266,0.7311084,1.083377
AdamW,adamw,AdamW,13,max_gradient_norm_before_clip,3,1.131769,0.2014463,0.1163051,0.95,4.302653,0.5004203,0.6313486,1.632189,0.9497979,1.348236
AdamW,adamw,AdamW,14,max_gradient_norm_before_clip,3,1.318273,0.2583691,0.1491695,0.95,4.302653,0.6418245,0.6764481,1.960097,1.140297,1.61462
AdamW,adamw,AdamW,15,max_gradient_norm_before_clip,3,0.9475796,0.2973352,0.1716666,0.95,4.302653,0.7386216,0.208958,1.686201,0.6138843,1.184383
