run,optimizer,optimizer_label,layer,epoch,metric,n,mean,std,sem,confidence,critical_value,ci_half_width,ci_low,ci_high,minimum,maximum
AdamW,adamw,AdamW,fc1,0,ERG_gap,3,357.666667,27.682726,15.982629,0.95,4.302653,68.767704,288.898962,426.434371,332.0,387.0
AdamW,adamw,AdamW,fc1,1,ERG_gap,3,369.666667,20.502032,11.836854,0.95,4.302653,50.929872,318.736795,420.596539,346.0,382.0
AdamW,adamw,AdamW,fc1,2,ERG_gap,3,374.333333,7.767453,4.484541,0.95,4.302653,19.295424,355.037909,393.628757,368.0,383.0
AdamW,adamw,AdamW,fc1,3,ERG_gap,3,364.0,4.582576,2.645751,0.95,4.302653,11.383749,352.616251,375.383749,359.0,368.0
AdamW,adamw,AdamW,fc1,4,ERG_gap,3,350.333333,4.163332,2.403701,0.95,4.302653,10.34229,339.991043,360.675623,347.0,355.0
AdamW,adamw,AdamW,fc1,5,ERG_gap,3,341.0,5.196152,3.0,0.95,4.302653,12.907958,328.092042,353.907958,335.0,344.0
AdamW,adamw,AdamW,fc1,6,ERG_gap,3,331.666667,4.932883,2.848001,0.95,4.302653,12.25396,319.412706,343.920627,326.0,335.0
AdamW,adamw,AdamW,fc1,7,ERG_gap,3,327.0,7.81025,4.50925,0.95,4.302653,19.401736,307.598264,346.401736,318.0,332.0
AdamW,adamw,AdamW,fc1,8,ERG_gap,3,322.333333,2.081666,1.20185,0.95,4.302653,5.171145,317.162188,327.504478,320.0,324.0
AdamW,adamw,AdamW,fc1,9,ERG_gap,3,315.333333,1.154701,0.666667,0.95,4.302653,2.868435,312.464898,318.201768,314.0,316.0
AdamW,adamw,AdamW,fc1,10,ERG_gap,3,308.333333,5.033223,2.905933,0.95,4.302653,12.503219,295.830114,320.836552,303.0,313.0
AdamW,adamw,AdamW,fc1,11,ERG_gap,3,306.0,7.81025,4.50925,0.95,4.302653,19.401736,286.598264,325.401736,301.0,315.0
AdamW,adamw,AdamW,fc1,12,ERG_gap,3,302.0,9.643651,5.567764,0.95,4.302653,23.956157,278.043843,325.956157,295.0,313.0
AdamW,adamw,AdamW,fc1,13,ERG_gap,3,300.333333,11.150486,6.437736,0.95,4.302653,27.699342,272.633991,328.032676,292.0,313.0
AdamW,adamw,AdamW,fc1,14,ERG_gap,3,293.333333,1.527525,0.881917,0.95,4.302653,3.794583,289.53875,297.127916,292.0,295.0
AdamW,adamw,AdamW,fc1,15,ERG_gap,3,293.0,3.0,1.732051,0.95,4.302653,7.452413,285.547587,300.452413,290.0,296.0
AdamW,adamw,AdamW,fc1,16,ERG_gap,3,291.333333,3.05505,1.763834,0.95,4.302653,7.589166,283.744167,298.922499,288.0,294.0
AdamW,adamw,AdamW,fc1,17,ERG_gap,3,289.666667,3.785939,2.185813,0.95,4.302653,9.404794,280.261873,299.07146,287.0,294.0
AdamW,adamw,AdamW,fc1,18,ERG_gap,3,289.666667,3.785939,2.185813,0.95,4.302653,9.404794,280.261873,299.07146,287.0,294.0
AdamW,adamw,AdamW,fc1,19,ERG_gap,3,291.333333,3.05505,1.763834,0.95,4.302653,7.589166,283.744167,298.922499,288.0,294.0
AdamW,adamw,AdamW,fc1,20,ERG_gap,3,290.333333,2.081666,1.20185,0.95,4.302653,5.171145,285.162188,295.504478,288.0,292.0
AdamW,adamw,AdamW,fc1,21,ERG_gap,3,290.333333,2.081666,1.20185,0.95,4.302653,5.171145,285.162188,295.504478,288.0,292.0
AdamW,adamw,AdamW,fc1,22,ERG_gap,3,290.333333,2.081666,1.20185,0.95,4.302653,5.171145,285.162188,295.504478,288.0,292.0
AdamW,adamw,AdamW,fc1,23,ERG_gap,3,290.333333,2.081666,1.20185,0.95,4.302653,5.171145,285.162188,295.504478,288.0,292.0
AdamW,adamw,AdamW,fc1,24,ERG_gap,3,290.333333,2.081666,1.20185,0.95,4.302653,5.171145,285.162188,295.504478,288.0,292.0
AdamW,adamw,AdamW,fc1,25,ERG_gap,3,290.333333,2.081666,1.20185,0.95,4.302653,5.171145,285.162188,295.504478,288.0,292.0
AdamW,adamw,AdamW,fc1,26,ERG_gap,3,289.333333,1.527525,0.881917,0.95,4.302653,3.794583,285.53875,293.127916,288.0,291.0
AdamW,adamw,AdamW,fc1,27,ERG_gap,3,290.333333,2.081666,1.20185,0.95,4.302653,5.171145,285.162188,295.504478,288.0,292.0
