arm,arm_label,family,variant,run,optimizer,epoch,global_step,primary_lr,auxiliary_lr,train_loss,train_accuracy,train_examples_evaluated,validation_loss,validation_accuracy,validation_examples_evaluated,test_loss,test_accuracy,test_examples_evaluated,validation_loss_gap,test_loss_gap,validation_accuracy_gap,test_accuracy_gap,test_monitoring_only,online_train_loss,online_train_accuracy,mean_gradient_norm_before_clip,median_gradient_norm_before_clip,max_gradient_norm_before_clip,batches,parameter_l2_norm,train_time_sec,evaluation_time_sec,weightwatcher_time_sec,epoch_total_time_sec,device,seed,replicate,optimizer_label,test_perplexity,validation_perplexity,checkpoint
new_adamw,"new AdamW, horizon optimized",adamw,horizon_optimized,AdamW,adamw,30,12900,1e-06,,4.118918e-05,1.0,55000,0.078369,0.9858,5000,0.073215,0.9847,10000,0.078327,0.073174,0.0142,0.0153,1,4.148644e-05,1.0,0.002015467,0.001786184,0.01066747,430,46.695293,4.962602,5.099074,2.999262,13.060938,mps,1337,0,AdamW,1.075962,1.081521,final
new_adamw,"new AdamW, horizon optimized",adamw,horizon_optimized,AdamW,adamw,30,12900,1e-06,,4.296827e-05,1.0,55000,0.084605,0.9848,5000,0.077209,0.9835,10000,0.084562,0.077166,0.0152,0.0165,1,4.324695e-05,1.0,0.002086195,0.001809056,0.008169408,430,47.003891,5.023732,5.32121,3.959844,14.304786,mps,2027,1,AdamW,1.080268,1.088287,final
new_adamw,"new AdamW, horizon optimized",adamw,horizon_optimized,AdamW,adamw,30,12900,1e-06,,4.683341e-05,1.0,55000,0.077309,0.986,5000,0.07255,0.9843,10000,0.077262,0.072503,0.014,0.0157,1,4.712047e-05,1.0,0.002306453,0.002067188,0.01120685,430,46.984495,4.53757,4.570533,2.87935,11.987453,mps,31415,2,AdamW,1.075246,1.080376,final
old_adamw,old AdamW,adamw,old,AdamW,adamw,30,12900,1e-05,,1.468589e-05,1.0,55000,0.08742,0.9858,5000,0.077554,0.9852,10000,0.087406,0.07754,0.0142,0.0148,1,1.497354e-05,1.0,0.000710678,0.0005965125,0.004089085,430,57.086986,4.533634,4.454976,2.531176,11.519786,mps,1337,0,AdamW,1.080641,1.091355,final
old_adamw,old AdamW,adamw,old,AdamW,adamw,30,12900,1e-05,,1.58134e-05,1.0,55000,0.084746,0.9868,5000,0.084766,0.9855,10000,0.08473,0.08475,0.0132,0.0145,1,1.611085e-05,1.0,0.0007548133,0.0006386511,0.003509696,430,57.505001,4.586236,4.53466,2.700541,11.821437,mps,2027,1,AdamW,1.088462,1.08844,final
old_adamw,old AdamW,adamw,old,AdamW,adamw,30,12900,1e-05,,1.408119e-05,1.0,55000,0.093397,0.9866,5000,0.085351,0.9847,10000,0.093383,0.085337,0.0134,0.0153,1,1.436087e-05,1.0,0.0006935033,0.0005724836,0.006499063,430,57.158256,4.536428,4.520927,7.43115,16.488505,mps,31415,2,AdamW,1.0891,1.097897,final
old_sgd,old SGD + Nesterov,sgd_momentum,old,SGD + Nesterov momentum,sgd_momentum,30,12900,0.0005,,0.0006801713,1.0,55000,0.061781,0.9846,5000,0.059031,0.9841,10000,0.061101,0.058351,0.0154,0.0159,1,0.000681372,1.0,0.02169779,0.01987243,0.06311906,430,35.853322,4.329755,4.5494,3.660399,12.539553,mps,1337,0,SGD + Nesterov momentum,1.060808,1.063729,final
old_sgd,old SGD + Nesterov,sgd_momentum,old,SGD + Nesterov momentum,sgd_momentum,30,12900,0.0005,,0.0006902663,1.0,55000,0.060265,0.9852,5000,0.055548,0.9848,10000,0.059575,0.054858,0.0148,0.0152,1,0.0006915217,1.0,0.02195937,0.02086831,0.06582585,430,35.916103,4.326884,4.640553,2.583035,11.550472,mps,2027,1,SGD + Nesterov momentum,1.05712,1.062118,final
old_sgd,old SGD + Nesterov,sgd_momentum,old,SGD + Nesterov momentum,sgd_momentum,30,12900,0.0005,,0.0006679502,1.0,55000,0.056884,0.9862,5000,0.055936,0.9836,10000,0.056216,0.055268,0.0138,0.0164,1,0.0006691356,1.0,0.02131569,0.02023451,0.08055064,430,35.897569,4.595391,5.008348,3.16698,12.770719,mps,31415,2,SGD + Nesterov momentum,1.05753,1.058533,final
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,Muon + auxiliary AdamW,sgd_momentum_muon,30,12900,0.0002,3e-06,5.418604e-11,1.0,55000,0.093231,0.988,5000,0.085997,0.9868,10000,0.093231,0.085997,0.012,0.0132,1,1.365488e-10,1.0,6.682774e-08,5.093154e-08,3.340501e-07,430,50.507639,8.338383,5.219736,4.183669,17.741788,mps,1337,0,Muon + auxiliary AdamW,1.089804,1.097715,final
