arm,arm_label,family,variant,checkpoint,metric,n,mean,std,sem,ci_half_width,ci_low,ci_high,minimum,maximum
new_adamw,"new AdamW, horizon optimized",adamw,horizon_optimized,final,parameter_l2_norm,3,46.89456,0.172842,0.099791,0.429364,46.465196,47.323924,46.695293,47.003891
old_adamw,old AdamW,adamw,old,final,parameter_l2_norm,3,57.250081,0.223624,0.12911,0.555514,56.694567,57.805595,57.086986,57.505001
old_sgd,old SGD + Nesterov,sgd_momentum,old,final,parameter_l2_norm,3,35.888998,0.032256,0.018623,0.080128,35.80887,35.969127,35.853322,35.916103
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,final,parameter_l2_norm,3,50.934132,0.371125,0.214269,0.921927,50.012205,51.856059,50.507639,51.183601
old_muon,old Muon + aux AdamW,sgd_momentum_muon,old,final,parameter_l2_norm,3,85.10545,0.189903,0.10964,0.471745,84.633706,85.577195,84.935265,85.310296
new_adamw,"new AdamW, horizon optimized",adamw,horizon_optimized,final,test_accuracy,3,0.984167,0.000611,0.000353,0.001518,0.982649,0.985684,0.9835,0.9847
old_adamw,old AdamW,adamw,old,final,test_accuracy,3,0.985133,0.000404,0.000233,0.001004,0.984129,0.986137,0.9847,0.9855
old_sgd,old SGD + Nesterov,sgd_momentum,old,final,test_accuracy,3,0.984167,0.000603,0.000348,0.001497,0.982669,0.985664,0.9836,0.9848
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,final,test_accuracy,3,0.986467,0.000666,0.000384,0.001654,0.984813,0.988121,0.9857,0.9869
old_muon,old Muon + aux AdamW,sgd_momentum_muon,old,final,test_accuracy,3,0.986333,0.000681,0.000393,0.001691,0.984642,0.988024,0.9858,0.9871
new_adamw,"new AdamW, horizon optimized",adamw,horizon_optimized,final,test_loss,3,0.074325,0.00252,0.001455,0.00626,0.068064,0.080585,0.07255,0.077209
old_adamw,old AdamW,adamw,old,final,test_loss,3,0.082557,0.004342,0.002507,0.010787,0.07177,0.093344,0.077554,0.085351
old_sgd,old SGD + Nesterov,sgd_momentum,old,final,test_loss,3,0.056838,0.001909,0.001102,0.004742,0.052097,0.06158,0.055548,0.059031
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,final,test_loss,3,0.091211,0.0053,0.00306,0.013167,0.078044,0.104378,0.085997,0.096594
old_muon,old Muon + aux AdamW,sgd_momentum_muon,old,final,test_loss,3,0.123379,0.003581,0.002067,0.008896,0.114484,0.132275,0.11927,0.125831
new_adamw,"new AdamW, horizon optimized",adamw,horizon_optimized,final,validation_loss,3,0.080094,0.003942,0.002276,0.009793,0.070302,0.089887,0.077309,0.084605
old_adamw,old AdamW,adamw,old,final,validation_loss,3,0.088521,0.004429,0.002557,0.011003,0.077518,0.099524,0.084746,0.093397
old_sgd,old SGD + Nesterov,sgd_momentum,old,final,validation_loss,3,0.059643,0.002507,0.001448,0.006228,0.053415,0.065872,0.056884,0.061781
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,final,validation_loss,3,0.096965,0.003336,0.001926,0.008287,0.088678,0.105253,0.093231,0.099651
