run,optimizer,optimizer_label,epoch,metric,n,mean,std,sem,confidence,critical_value,ci_half_width,ci_low,ci_high,minimum,maximum
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,0,auxiliary_lr,3,3.488372e-07,6.483745000000001e-23,3.7433920000000004e-23,0.95,4.302653,1.6106520000000002e-22,3.488372e-07,3.488372e-07,3.488372e-07,3.488372e-07
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,1,auxiliary_lr,3,0.00015,0.0,0.0,0.95,4.302653,0.0,0.00015,0.00015,0.00015,0.00015
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,2,auxiliary_lr,3,0.0003,0.0,0.0,0.95,4.302653,0.0,0.0003,0.0003,0.0003,0.0003
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,3,auxiliary_lr,3,0.0002990704,0.0,0.0,0.95,4.302653,0.0,0.0002990704,0.0002990704,0.0002990704,0.0002990704
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,4,auxiliary_lr,3,0.0002962848,0.0,0.0,0.95,4.302653,0.0,0.0002962848,0.0002962848,0.0002962848,0.0002962848
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,5,auxiliary_lr,3,0.0002916781,0.0,0.0,0.95,4.302653,0.0,0.0002916781,0.0002916781,0.0002916781,0.0002916781
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,6,auxiliary_lr,3,0.0002853083,0.0,0.0,0.95,4.302653,0.0,0.0002853083,0.0002853083,0.0002853083,0.0002853083
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,7,auxiliary_lr,3,0.0002772555,0.0,0.0,0.95,4.302653,0.0,0.0002772555,0.0002772555,0.0002772555,0.0002772555
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,8,auxiliary_lr,3,0.000267621,0.0,0.0,0.95,4.302653,0.0,0.000267621,0.000267621,0.000267621,0.000267621
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,9,auxiliary_lr,3,0.0002565259,0.0,0.0,0.95,4.302653,0.0,0.0002565259,0.0002565259,0.0002565259,0.0002565259
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,10,auxiliary_lr,3,0.0002441099,0.0,0.0,0.95,4.302653,0.0,0.0002441099,0.0002441099,0.0002441099,0.0002441099
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,11,auxiliary_lr,3,0.000230529,0.0,0.0,0.95,4.302653,0.0,0.000230529,0.000230529,0.000230529,0.000230529
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,12,auxiliary_lr,3,0.0002159542,0.0,0.0,0.95,4.302653,0.0,0.0002159542,0.0002159542,0.0002159542,0.0002159542
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,13,auxiliary_lr,3,0.0002005686,0.0,0.0,0.95,4.302653,0.0,0.0002005686,0.0002005686,0.0002005686,0.0002005686
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,14,auxiliary_lr,3,0.0001845659,0.0,0.0,0.95,4.302653,0.0,0.0001845659,0.0001845659,0.0001845659,0.0001845659
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,15,auxiliary_lr,3,0.0001681474,0.0,0.0,0.95,4.302653,0.0,0.0001681474,0.0001681474,0.0001681474,0.0001681474
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,16,auxiliary_lr,3,0.0001515194,0.0,0.0,0.95,4.302653,0.0,0.0001515194,0.0001515194,0.0001515194,0.0001515194
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,17,auxiliary_lr,3,0.0001348912,0.0,0.0,0.95,4.302653,0.0,0.0001348912,0.0001348912,0.0001348912,0.0001348912
