run,optimizer,optimizer_label,layer,epoch,metric,n,mean,std,sem,confidence,critical_value,ci_half_width,ci_low,ci_high,minimum,maximum
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc1,0,ERG_gap,3,357.666667,27.682726,15.982629,0.95,4.302653,68.767704,288.898962,426.434371,332.0,387.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc1,1,ERG_gap,3,385.666667,7.371115,4.255715,0.95,4.302653,18.310864,367.355802,403.977531,380.0,394.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc1,2,ERG_gap,3,363.666667,19.502137,11.259564,0.95,4.302653,48.445993,315.220674,412.11266,344.0,383.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc1,3,ERG_gap,3,313.333333,29.022979,16.756425,0.95,4.302653,72.097078,241.236256,385.430411,280.0,333.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc1,4,ERG_gap,3,290.0,14.106736,8.144528,0.95,4.302653,35.043075,254.956925,325.043075,277.0,305.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc1,5,ERG_gap,3,257.0,25.70992,14.843629,0.95,4.302653,63.866982,193.133018,320.866982,237.0,286.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc1,6,ERG_gap,3,234.666667,28.536526,16.475571,0.95,4.302653,70.888661,163.778006,305.555328,207.0,264.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc1,7,ERG_gap,3,242.0,21.0,12.124356,0.95,4.302653,52.166892,189.833108,294.166892,218.0,257.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc1,8,ERG_gap,3,255.0,63.174362,36.473735,0.95,4.302653,156.933815,98.066185,411.933815,186.0,310.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc1,9,ERG_gap,3,210.666667,40.698075,23.497045,0.95,4.302653,101.099624,109.567043,311.76629,175.0,255.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc1,10,ERG_gap,3,216.333333,17.009801,9.820613,0.95,4.302653,42.254688,174.078645,258.588022,199.0,233.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc1,11,ERG_gap,3,201.0,28.354894,16.370706,0.95,4.302653,70.437461,130.562539,271.437461,169.0,223.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc1,12,ERG_gap,3,180.0,6.557439,3.785939,0.95,4.302653,16.28958,163.71042,196.28958,173.0,186.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc1,13,ERG_gap,3,183.333333,13.051181,7.535103,0.95,4.302653,32.420932,150.912402,215.754265,171.0,197.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc1,14,ERG_gap,3,175.333333,1.527525,0.881917,0.95,4.302653,3.794583,171.53875,179.127916,174.0,177.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc1,15,ERG_gap,3,154.0,37.589892,21.702534,0.95,4.302653,93.378469,60.621531,247.378469,118.0,193.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc1,16,ERG_gap,3,163.0,7.0,4.041452,0.95,4.302653,17.388964,145.611036,180.388964,158.0,171.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc1,17,ERG_gap,3,120.666667,32.316147,18.657736,0.95,4.302653,80.277759,40.388908,200.944425,84.0,145.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc1,18,ERG_gap,3,152.333333,39.106692,22.578259,0.95,4.302653,97.146408,55.186926,249.479741,109.0,185.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc1,19,ERG_gap,3,152.0,40.112342,23.158872,0.95,4.302653,99.644582,52.355418,251.644582,107.0,184.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc1,20,ERG_gap,3,143.0,31.953091,18.448125,0.95,4.302653,79.375877,63.624123,222.375877,107.0,168.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc1,21,ERG_gap,3,158.0,5.0,2.886751,0.95,4.302653,12.420689,145.579311,170.420689,153.0,163.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc1,22,ERG_gap,3,140.666667,33.261589,19.203588,0.95,4.302653,82.626369,58.040298,223.293035,103.0,166.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc1,23,ERG_gap,3,101.0,26.851443,15.502688,0.95,4.302653,66.702683,34.297317,167.702683,77.0,130.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc1,24,ERG_gap,3,106.333333,37.806525,21.827607,0.95,4.302653,93.916615,12.416719,200.249948,77.0,149.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc1,25,ERG_gap,3,128.666667,30.088758,17.371752,0.95,4.302653,74.744617,53.922049,203.411284,100.0,160.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc1,26,ERG_gap,3,127.666667,29.091809,16.796164,0.95,4.302653,72.268059,55.398608,199.934726,100.0,158.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc1,27,ERG_gap,3,127.0,29.614186,17.097758,0.95,4.302653,73.565716,53.434284,200.565716,99.0,158.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc1,28,ERG_gap,3,126.333333,29.569128,17.071744,0.95,4.302653,73.453786,52.879547,199.787119,98.0,157.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc1,29,ERG_gap,3,101.0,20.663978,11.930353,0.95,4.302653,51.332168,49.667832,152.332168,82.0,123.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc1,30,ERG_gap,3,98.0,24.515301,14.153916,0.95,4.302653,60.899385,37.100615,158.899385,74.0,123.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc2,0,ERG_gap,3,343.0,18.520259,10.692677,0.95,4.302653,46.006874,296.993126,389.006874,322.0,357.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc2,1,ERG_gap,3,340.0,8.717798,5.033223,0.95,4.302653,21.65621,318.34379,361.65621,334.0,350.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc2,2,ERG_gap,3,328.0,25.238859,14.571662,0.95,4.302653,62.696801,265.303199,390.696801,299.0,345.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc2,3,ERG_gap,3,312.666667,12.66228,7.310571,0.95,4.302653,31.454847,281.21182,344.121514,303.0,327.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc2,4,ERG_gap,3,321.333333,13.503086,7.79601,0.95,4.302653,33.543525,287.789808,354.876859,308.0,335.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc2,5,ERG_gap,3,287.666667,54.307765,31.354603,0.95,4.302653,134.907967,152.7587,422.574634,225.0,321.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc2,6,ERG_gap,3,257.666667,53.257237,30.74808,0.95,4.302653,132.298312,125.368355,389.964978,214.0,317.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc2,7,ERG_gap,3,189.333333,29.022979,16.756425,0.95,4.302653,72.097078,117.236256,261.430411,161.0,219.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc2,8,ERG_gap,3,189.333333,25.10644,14.49521,0.95,4.302653,62.367855,126.965479,251.701188,168.0,217.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc2,9,ERG_gap,3,262.666667,95.038589,54.870555,0.95,4.302653,236.088942,26.577725,498.755609,153.0,321.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc2,10,ERG_gap,3,210.666667,89.366287,51.59565,0.95,4.302653,221.998165,-11.331498,432.664831,148.0,313.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc2,11,ERG_gap,3,169.333333,0.57735,0.333333,0.95,4.302653,1.434218,167.899116,170.767551,169.0,170.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc2,12,ERG_gap,3,147.666667,16.165808,9.333333,0.95,4.302653,40.158092,107.508575,187.824759,129.0,157.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc2,13,ERG_gap,3,198.666667,93.601994,54.041137,0.95,4.302653,232.520244,-33.853577,431.186911,134.0,306.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc2,14,ERG_gap,3,161.0,28.618176,16.522712,0.95,4.302653,71.09149,89.90851,232.09149,134.0,191.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc2,15,ERG_gap,3,137.666667,11.590226,6.69162,0.95,4.302653,28.791717,108.87495,166.458384,127.0,150.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc2,16,ERG_gap,3,187.666667,89.511638,51.679568,0.95,4.302653,222.359236,-34.692569,410.025902,134.0,291.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc2,17,ERG_gap,3,145.333333,34.588052,19.969421,0.95,4.302653,85.921484,59.411849,231.254817,115.0,183.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc2,18,ERG_gap,3,149.0,23.430749,13.527749,0.95,4.302653,58.205207,90.794793,207.205207,134.0,176.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc2,19,ERG_gap,3,182.0,89.202018,51.500809,0.95,4.302653,221.590097,-39.590097,403.590097,130.0,285.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc2,20,ERG_gap,3,131.0,19.467922,11.23981,0.95,4.302653,48.361,82.639,179.361,116.0,153.0
